symbol,date,high,low,close,volume,open
MNDI.L,2020-09-09 13:05:04,1483.0,1483.0,1483.0,0.0,1483.0
MNDI.L,2020-09-09 13:04:00,1484.0,1483.0,1483.0,929.0,1484.0
MNDI.L,2020-09-09 13:03:00,1484.0,1484.0,1484.0,60.0,1484.0
MNDI.L,2020-09-09 13:01:00,1482.5,1482.5,1482.5,265.0,1482.5
MNDI.L,2020-09-09 13:00:00,1481.5,1481.5,1481.5,62.0,1481.5
MNDI.L,2020-09-09 12:56:00,1483.0,1481.5,1482.0,972.0,1481.5
MNDI.L,2020-09-09 12:55:00,1482.0,1481.0,1482.0,1550.0,1481.0
MNDI.L,2020-09-09 12:54:00,1480.0,1480.0,1480.0,616.0,1480.0
MNDI.L,2020-09-09 12:52:00,1480.0,1480.0,1480.0,324.0,1480.0
MNDI.L,2020-09-09 12:51:00,1482.0,1480.0,1480.0,4780.0,1482.0
MNDI.L,2020-09-09 12:50:00,1481.5,1481.5,1481.5,299.0,1481.5
MNDI.L,2020-09-09 12:49:00,1481.0,1481.0,1481.0,634.0,1481.0
MNDI.L,2020-09-09 12:48:00,1480.5,1480.5,1480.5,799.0,1480.5
MNDI.L,2020-09-09 12:47:00,1481.5,1481.5,1481.5,438.0,1481.5
MNDI.L,2020-09-09 12:46:00,1482.0,1481.5,1482.0,632.0,1481.5
MNDI.L,2020-09-09 12:45:00,1481.5,1481.5,1481.5,2500.0,1481.5
MNDI.L,2020-09-09 12:44:00,1481.0,1481.0,1481.0,123.0,1481.0
MNDI.L,2020-09-09 12:43:00,1480.5,1480.5,1480.5,419.0,1480.5
MNDI.L,2020-09-09 12:42:00,1480.0,1479.5,1480.0,1957.0,1479.5
MNDI.L,2020-09-09 12:41:00,1479.0,1478.5,1478.5,1538.0,1478.5
MNDI.L,2020-09-09 12:40:00,1478.5,1477.5,1477.5,944.0,1478.5
MNDI.L,2020-09-09 12:39:00,1479.5,1479.0,1479.0,771.0,1479.5
MNDI.L,2020-09-09 12:38:00,1480.0,1480.0,1480.0,112.0,1480.0
MNDI.L,2020-09-09 12:37:00,1479.5,1479.5,1479.5,197.0,1479.5
MNDI.L,2020-09-09 12:36:00,1480.5,1480.5,1480.5,791.0,1480.5
MNDI.L,2020-09-09 12:32:00,1479.5,1479.5,1479.5,142.0,1479.5
MNDI.L,2020-09-09 12:31:00,1478.5,1478.5,1478.5,1051.0,1478.5
MNDI.L,2020-09-09 12:30:00,1479.5,1479.5,1479.5,1166.0,1479.5
MNDI.L,2020-09-09 12:29:00,1480.0,1479.5,1480.0,1511.0,1479.5
MNDI.L,2020-09-09 12:26:00,1479.0,1479.0,1479.0,136.0,1479.0
MNDI.L,2020-09-09 12:22:00,1478.5,1478.0,1478.0,967.0,1478.5
MNDI.L,2020-09-09 12:21:00,1479.0,1479.0,1479.0,917.0,1479.0
MNDI.L,2020-09-09 12:20:00,1479.5,1479.5,1479.5,178.0,1479.5
MNDI.L,2020-09-09 12:19:00,1479.5,1479.5,1479.5,982.0,1479.5
MNDI.L,2020-09-09 12:18:00,1480.5,1480.0,1480.0,2428.0,1480.5
MNDI.L,2020-09-09 12:16:00,1479.0,1478.0,1479.0,1587.0,1478.0
MNDI.L,2020-09-09 12:15:00,1478.5,1478.0,1478.0,4055.0,1478.0
MNDI.L,2020-09-09 12:14:00,1478.0,1478.0,1478.0,59.0,1478.0
MNDI.L,2020-09-09 12:13:00,1476.5,1475.5,1476.5,5240.0,1475.5
MNDI.L,2020-09-09 12:12:00,1476.0,1475.5,1475.5,2146.0,1476.0
MNDI.L,2020-09-09 12:11:00,1476.0,1476.0,1476.0,399.0,1476.0
MNDI.L,2020-09-09 12:09:00,1474.5,1474.5,1474.5,326.0,1474.5
MNDI.L,2020-09-09 12:07:00,1474.0,1473.0,1474.0,1458.0,1473.0
MNDI.L,2020-09-09 12:05:00,1476.0,1474.0,1474.0,2619.0,1476.0
MNDI.L,2020-09-09 12:04:00,1477.0,1476.5,1476.5,578.0,1477.0
MNDI.L,2020-09-09 12:03:00,1477.0,1477.0,1477.0,1026.0,1477.0
MNDI.L,2020-09-09 12:02:00,1481.0,1476.5,1477.5,4872.0,1481.0
MNDI.L,2020-09-09 11:58:00,1477.0,1477.0,1477.0,124.0,1477.0
MNDI.L,2020-09-09 11:57:00,1477.0,1476.5,1476.5,2567.0,1476.5
MNDI.L,2020-09-09 11:56:00,1477.0,1477.0,1477.0,267.0,1477.0
MNDI.L,2020-09-09 11:55:00,1477.5,1477.5,1477.5,300.0,1477.5
MNDI.L,2020-09-09 11:53:00,1477.5,1477.0,1477.0,792.0,1477.5
MNDI.L,2020-09-09 11:52:00,1479.0,1477.5,1477.5,1151.0,1479.0
MNDI.L,2020-09-09 11:51:00,1479.5,1479.0,1479.0,1794.0,1479.5
MNDI.L,2020-09-09 11:49:00,1478.5,1478.5,1478.5,1330.0,1478.5
MNDI.L,2020-09-09 11:48:00,1478.5,1478.5,1478.5,200.0,1478.5
MNDI.L,2020-09-09 11:47:00,1479.0,1479.0,1479.0,129.0,1479.0
MNDI.L,2020-09-09 11:42:00,1478.5,1478.5,1478.5,197.0,1478.5
MNDI.L,2020-09-09 11:41:00,1479.0,1479.0,1479.0,291.0,1479.0
MNDI.L,2020-09-09 11:40:00,1479.5,1478.0,1478.0,1901.0,1479.5
MNDI.L,2020-09-09 11:39:00,1480.0,1479.5,1480.0,520.0,1479.5
MNDI.L,2020-09-09 11:36:00,1479.0,1479.0,1479.0,672.0,1479.0
MNDI.L,2020-09-09 11:35:00,1479.5,1479.5,1479.5,1167.0,1479.5
MNDI.L,2020-09-09 11:33:00,1480.0,1479.5,1480.0,1376.0,1479.5
MNDI.L,2020-09-09 11:32:00,1480.0,1480.0,1480.0,246.0,1480.0
MNDI.L,2020-09-09 11:31:00,1480.5,1480.5,1480.5,125.0,1480.5
MNDI.L,2020-09-09 11:30:00,1480.5,1480.0,1480.0,751.0,1480.5
MNDI.L,2020-09-09 11:29:00,1480.0,1480.0,1480.0,228.0,1480.0
MNDI.L,2020-09-09 11:27:00,1480.0,1480.0,1480.0,1544.0,1480.0
MNDI.L,2020-09-09 11:26:00,1480.5,1480.0,1480.0,1575.0,1480.0
MNDI.L,2020-09-09 11:25:00,1480.0,1480.0,1480.0,662.0,1480.0
MNDI.L,2020-09-09 11:24:00,1481.5,1480.0,1480.0,3388.0,1481.5
MNDI.L,2020-09-09 11:23:00,1482.0,1481.0,1482.0,849.0,1481.0
MNDI.L,2020-09-09 11:21:00,1482.22998046875,1481.0,1481.0,200.0,1482.22998046875
MNDI.L,2020-09-09 11:20:00,1482.0,1482.0,1482.0,395.0,1482.0
MNDI.L,2020-09-09 11:19:00,1482.0,1481.6824951171875,1481.6824951171875,658.0,1482.0
MNDI.L,2020-09-09 11:17:00,1481.0,1480.5,1481.0,618.0,1480.5
MNDI.L,2020-09-09 11:16:00,1480.5,1479.5,1480.5,2304.0,1480.5
MNDI.L,2020-09-09 11:15:00,1480.5,1480.0,1480.5,2701.0,1480.0
MNDI.L,2020-09-09 11:14:00,1481.5,1480.5,1480.5,258.0,1481.5
MNDI.L,2020-09-09 11:13:00,1480.0,1480.0,1480.0,437.0,1480.0
MNDI.L,2020-09-09 11:12:00,1480.5,1480.5,1480.5,13.0,1480.5
MNDI.L,2020-09-09 11:10:00,1481.0,1480.5,1480.5,945.0,1481.0
MNDI.L,2020-09-09 11:08:00,1479.5,1479.5,1479.5,325.0,1479.5
MNDI.L,2020-09-09 11:07:00,1479.0,1479.0,1479.0,211.0,1479.0
MNDI.L,2020-09-09 11:06:00,1478.0,1477.0,1478.0,1319.0,1477.5
MNDI.L,2020-09-09 11:05:00,1478.0,1478.0,1478.0,131.0,1478.0
MNDI.L,2020-09-09 11:04:00,1479.0,1478.5,1478.5,890.0,1479.0
MNDI.L,2020-09-09 11:01:00,1480.0,1478.5,1479.8175048828125,1497.0,1480.0
MNDI.L,2020-09-09 11:00:00,1480.0,1478.0,1480.0,723.0,1478.0
MNDI.L,2020-09-09 10:57:00,1478.5,1477.5,1478.5,1409.0,1477.5
MNDI.L,2020-09-09 10:56:00,1476.6800537109375,1476.6800537109375,1476.6800537109375,120.0,1476.6800537109375
MNDI.L,2020-09-09 10:55:00,1477.0,1477.0,1477.0,649.0,1477.0
MNDI.L,2020-09-09 10:54:00,1476.5,1476.5,1476.5,852.0,1476.5
MNDI.L,2020-09-09 10:53:00,1477.0,1476.5,1476.5,1208.0,1477.0
MNDI.L,2020-09-09 10:52:00,1477.5,1477.0,1477.5,1309.0,1477.0
MNDI.L,2020-09-09 10:47:00,1477.5,1477.0,1477.0,304.0,1477.5
MNDI.L,2020-09-09 10:46:00,1477.5,1477.5,1477.5,457.0,1477.5
MNDI.L,2020-09-09 10:45:00,1477.5,1477.5,1477.5,31.0,1477.5
MNDI.L,2020-09-09 10:43:00,1475.5,1475.5,1475.5,300.0,1475.5
MNDI.L,2020-09-09 10:41:00,1475.0,1474.0,1474.5,2008.0,1475.0
MNDI.L,2020-09-09 10:40:00,1476.0,1475.5,1475.5,1009.0,1476.0
MNDI.L,2020-09-09 10:39:00,1476.5,1476.5,1476.5,87.0,1476.5
MNDI.L,2020-09-09 10:38:00,1475.5,1475.5,1475.5,596.0,1475.5
MNDI.L,2020-09-09 10:37:00,1474.5,1474.5,1474.5,250.0,1474.5
MNDI.L,2020-09-09 10:34:00,1473.5,1472.5,1473.5,630.0,1472.5
MNDI.L,2020-09-09 10:33:00,1472.5,1472.5,1472.5,112.0,1472.5
MNDI.L,2020-09-09 10:32:00,1473.5,1473.0,1473.0,1481.0,1473.5
MNDI.L,2020-09-09 10:31:00,1474.0,1473.9088134765625,1473.9088134765625,129.0,1474.0
MNDI.L,2020-09-09 10:30:00,1474.0,1473.5,1473.5,664.0,1474.0
MNDI.L,2020-09-09 10:29:00,1474.0,1474.0,1474.0,256.0,1474.0
MNDI.L,2020-09-09 10:21:00,1474.0,1473.0,1473.0,279.0,1474.0
MNDI.L,2020-09-09 10:19:00,1474.0,1474.0,1474.0,200.0,1474.0
MNDI.L,2020-09-09 10:18:00,1474.0,1473.5,1474.0,1301.0,1474.0
MNDI.L,2020-09-09 10:16:00,1474.5,1474.5,1474.5,879.0,1474.5
MNDI.L,2020-09-09 10:14:00,1474.5,1474.5,1474.5,106.0,1474.5
MNDI.L,2020-09-09 10:13:00,1474.5,1474.5,1474.5,105.0,1474.5
MNDI.L,2020-09-09 10:12:00,1473.5,1473.5,1473.5,442.0,1473.5
MNDI.L,2020-09-09 10:10:00,1473.0,1473.0,1473.0,788.0,1473.0
MNDI.L,2020-09-09 10:08:00,1473.0,1473.0,1473.0,91.0,1473.0
MNDI.L,2020-09-09 10:06:00,1473.0,1473.0,1473.0,300.0,1473.0
MNDI.L,2020-09-09 10:05:00,1472.0,1471.0,1472.0,329.0,1471.0
MNDI.L,2020-09-09 10:04:00,1470.5,1470.5,1470.5,23.0,1470.5
MNDI.L,2020-09-09 10:03:00,1470.0,1470.0,1470.0,101.0,1470.0
MNDI.L,2020-09-09 10:02:00,1470.5,1470.5,1470.5,329.0,1470.5
MNDI.L,2020-09-09 10:01:00,1470.0,1469.5,1470.0,626.0,1470.0
MNDI.L,2020-09-09 09:59:00,1472.5,1470.5,1470.5,1314.0,1472.5
MNDI.L,2020-09-09 09:58:00,1473.5,1473.0,1473.0,1475.0,1473.5
MNDI.L,2020-09-09 09:56:00,1474.5,1474.0,1474.5,548.0,1474.0
MNDI.L,2020-09-09 09:52:00,1473.5,1473.0,1473.0,286.0,1473.5
MNDI.L,2020-09-09 09:51:00,1473.5,1473.5,1473.5,84.0,1473.5
MNDI.L,2020-09-09 09:49:00,1473.5,1471.5,1473.5,511.0,1471.5
MNDI.L,2020-09-09 09:48:00,1471.5,1471.0,1471.0,1089.0,1471.5
MNDI.L,2020-09-09 09:46:00,1470.5,1470.0,1470.5,1743.0,1470.5
MNDI.L,2020-09-09 09:45:00,1469.5,1469.5,1469.5,84.0,1469.5
MNDI.L,2020-09-09 09:44:00,1469.0,1469.0,1469.0,340.0,1469.0
MNDI.L,2020-09-09 09:40:00,1471.0,1470.0,1470.0,258.0,1471.0
MNDI.L,2020-09-09 09:39:00,1472.0,1472.0,1472.0,156.0,1472.0
MNDI.L,2020-09-09 09:37:00,1471.5,1471.5,1471.5,98.0,1471.5
MNDI.L,2020-09-09 09:36:00,1471.0,1471.0,1471.0,132.0,1471.0
MNDI.L,2020-09-09 09:35:00,1472.5,1471.5,1471.5,2074.0,1472.5
MNDI.L,2020-09-09 09:34:00,1473.5,1472.0,1472.0,850.0,1473.5
MNDI.L,2020-09-09 09:32:00,1473.5,1473.5,1473.5,115.0,1473.5
MNDI.L,2020-09-09 09:31:00,1474.0,1474.0,1474.0,449.0,1474.0
MNDI.L,2020-09-09 09:30:00,1476.1400146484375,1475.0,1475.0,507.0,1475.5
MNDI.L,2020-09-09 09:29:00,1475.0,1472.79541015625,1475.0,483.0,1475.0
MNDI.L,2020-09-09 09:28:00,1475.0,1474.0,1474.0,755.0,1475.0
MNDI.L,2020-09-09 09:25:00,1476.5,1476.0,1476.0,199.0,1476.5
MNDI.L,2020-09-09 09:24:00,1477.5,1477.0,1477.0,474.0,1477.5
MNDI.L,2020-09-09 09:23:00,1480.0,1478.5,1478.5,820.0,1480.0
MNDI.L,2020-09-09 09:22:00,1479.5,1479.0,1479.5,989.0,1479.0
MNDI.L,2020-09-09 09:21:00,1479.2261962890625,1479.2261962890625,1479.2261962890625,338.0,1479.2261962890625
MNDI.L,2020-09-09 09:20:00,1478.5,1477.77001953125,1478.5,800.0,1477.77001953125
MNDI.L,2020-09-09 09:19:00,1477.5,1477.0,1477.0,1461.0,1477.5
MNDI.L,2020-09-09 09:18:00,1479.0,1478.0,1478.0,803.0,1479.0
MNDI.L,2020-09-09 09:17:00,1479.5,1478.5,1479.5,993.0,1478.5
MNDI.L,2020-09-09 09:16:00,1476.5,1476.5,1476.5,300.0,1476.5
MNDI.L,2020-09-09 09:15:00,1476.5,1475.5,1476.5,453.0,1475.5
MNDI.L,2020-09-09 09:14:00,1475.0,1474.5,1474.5,403.0,1475.0
MNDI.L,2020-09-09 09:12:00,1474.0,1472.5,1473.72998046875,1078.0,1472.5
MNDI.L,2020-09-09 09:11:00,1474.5,1473.0,1474.0,2361.0,1474.5
MNDI.L,2020-09-09 09:10:00,1476.5,1475.5,1475.5,953.0,1476.0
MNDI.L,2020-09-09 09:09:00,1476.0,1475.0,1476.0,367.0,1475.0
MNDI.L,2020-09-09 09:07:00,1477.5,1476.0,1476.0,577.0,1477.5
MNDI.L,2020-09-09 09:05:00,1479.0,1479.0,1479.0,679.0,1479.0
MNDI.L,2020-09-09 09:04:00,1476.5,1476.5,1476.5,300.0,1476.5
MNDI.L,2020-09-09 09:03:00,1475.77001953125,1475.77001953125,1475.77001953125,138.0,1475.77001953125
MNDI.L,2020-09-09 09:02:00,1475.5,1475.5,1475.5,300.0,1475.5
MNDI.L,2020-09-09 09:01:00,1471.0,1471.0,1471.0,7.0,1471.0
MNDI.L,2020-09-09 09:00:00,1470.5,1469.5,1469.5,2460.0,1470.0
MNDI.L,2020-09-09 08:59:00,1472.5,1471.0,1472.5,4214.0,1472.0
MNDI.L,2020-09-09 08:58:00,1474.0,1473.5,1473.5,413.0,1474.0
MNDI.L,2020-09-09 08:55:00,1475.5,1475.5,1475.5,48.0,1475.5
MNDI.L,2020-09-09 08:54:00,1475.5,1475.5,1475.5,368.0,1475.5
MNDI.L,2020-09-09 08:50:00,1478.0,1477.5,1477.5,337.0,1478.0
MNDI.L,2020-09-09 08:49:00,1476.0,1476.0,1476.0,258.0,1476.0
MNDI.L,2020-09-09 08:44:00,1476.5,1476.5,1476.5,300.0,1476.5
MNDI.L,2020-09-09 08:43:00,1477.0,1476.0,1477.0,865.0,1477.0
MNDI.L,2020-09-09 08:42:00,1478.5,1477.5,1477.5,946.0,1478.5
MNDI.L,2020-09-09 08:41:00,1478.5,1478.0,1478.0,627.0,1478.0
MNDI.L,2020-09-09 08:40:00,1479.0,1478.0,1478.5,2821.0,1479.0
MNDI.L,2020-09-09 08:39:00,1479.0,1478.0,1478.5,3614.0,1478.0
MNDI.L,2020-09-09 08:38:00,1478.5,1478.0,1478.5,199.0,1478.0
MNDI.L,2020-09-09 08:36:00,1476.5,1476.0,1476.0,866.0,1476.5
MNDI.L,2020-09-09 08:35:00,1478.0,1476.5,1477.5,1879.0,1477.0
MNDI.L,2020-09-09 08:34:00,1477.0,1474.6551513671875,1477.0,2333.0,1477.0
MNDI.L,2020-09-09 08:33:00,1476.0,1475.0,1476.0,1345.0,1475.5
MNDI.L,2020-09-09 08:32:00,1476.0,1475.0,1476.0,2511.0,1475.5
MNDI.L,2020-09-09 08:31:00,1476.0,1473.5,1475.5,1388.0,1473.5
MNDI.L,2020-09-09 08:30:00,1472.5,1471.0,1472.5,1024.0,1471.0
MNDI.L,2020-09-09 08:29:00,1471.0,1470.5,1470.5,770.0,1471.0
MNDI.L,2020-09-09 08:28:00,1471.5,1471.5,1471.5,1.0,1471.5
MNDI.L,2020-09-09 08:27:00,1471.0,1471.0,1471.0,511.0,1471.0
MNDI.L,2020-09-09 08:26:00,1470.5,1470.5,1470.5,640.0,1470.5
MNDI.L,2020-09-09 08:25:00,1474.0,1474.0,1474.0,201.0,1474.0
MNDI.L,2020-09-09 08:24:00,1475.5,1474.0,1474.0,2745.0,1475.5
MNDI.L,2020-09-09 08:23:00,1475.5,1474.0,1475.0,388.0,1474.0
MNDI.L,2020-09-09 08:22:00,1475.5,1474.5,1475.5,469.0,1474.5
MNDI.L,2020-09-09 08:21:00,1470.0,1467.5,1470.0,3339.0,1467.5
MNDI.L,2020-09-09 08:20:00,1467.0,1466.0,1466.5,1766.0,1466.0
MNDI.L,2020-09-09 08:19:00,1467.0,1466.5,1466.5,1121.0,1466.5
MNDI.L,2020-09-09 08:18:00,1469.0,1467.0,1467.5,1691.0,1469.0
MNDI.L,2020-09-09 08:17:00,1468.5,1468.0,1468.5,570.0,1468.0
MNDI.L,2020-09-09 08:16:00,1466.0,1466.0,1466.0,87.0,1466.0
MNDI.L,2020-09-09 08:15:00,1468.0,1466.0,1467.5,4049.0,1467.5
MNDI.L,2020-09-09 08:14:00,1471.0,1467.5,1468.0,4297.0,1471.0
MNDI.L,2020-09-09 08:13:00,1471.5,1470.5,1471.22998046875,4037.0,1471.5
MNDI.L,2020-09-09 08:12:00,1471.0,1469.0,1471.0,811.0,1469.0
MNDI.L,2020-09-09 08:11:00,1469.0,1468.5,1469.0,530.0,1468.5
MNDI.L,2020-09-09 08:09:00,1469.5,1467.0,1467.0,1041.0,1469.5
MNDI.L,2020-09-09 08:08:00,1470.5,1469.5,1469.5,316.0,1470.0
MNDI.L,2020-09-09 08:06:00,1473.5,1473.5,1473.5,294.0,1473.5
MNDI.L,2020-09-09 08:05:00,1473.0,1472.0,1472.0,577.0,1473.0
MNDI.L,2020-09-09 08:04:00,1473.0,1471.0,1473.0,877.0,1471.0
MNDI.L,2020-09-09 08:03:00,1473.0,1469.5,1473.0,875.0,1473.0
MNDI.L,2020-09-09 08:01:00,1471.0,1469.0,1469.0,1050.0,1469.5
MNDI.L,2020-09-09 08:00:00,1474.5,1466.0,1466.0,0.0,1474.5
MNDI.L,2020-09-08 16:29:00,1472.5,1471.5,1472.0,5990.0,1472.5
MNDI.L,2020-09-08 16:28:00,1473.5,1472.5,1473.0,4590.0,1472.5
MNDI.L,2020-09-08 16:27:00,1473.0,1472.0,1473.0,363.0,1472.0
MNDI.L,2020-09-08 16:26:00,1473.0,1471.0,1471.0,3482.0,1473.0
MNDI.L,2020-09-08 16:25:00,1472.5,1471.5,1472.5,1640.0,1472.0
MNDI.L,2020-09-08 16:24:00,1473.0,1472.0,1472.5,3476.0,1472.5
MNDI.L,2020-09-08 16:23:00,1472.5,1471.5,1472.5,1091.0,1471.5
MNDI.L,2020-09-08 16:22:00,1472.0,1471.0,1472.0,3197.0,1471.5
MNDI.L,2020-09-08 16:21:00,1472.0,1471.0,1472.0,1201.0,1471.5
MNDI.L,2020-09-08 16:20:00,1472.5,1471.5,1472.0,1193.0,1472.5
MNDI.L,2020-09-08 16:19:00,1473.0,1472.0,1472.0,2649.0,1473.0
MNDI.L,2020-09-08 16:18:00,1473.0,1473.0,1473.0,960.0,1473.0
MNDI.L,2020-09-08 16:17:00,1473.0,1472.5,1473.0,2275.0,1472.5
MNDI.L,2020-09-08 16:16:00,1473.0,1472.5,1472.5,3155.0,1472.5
MNDI.L,2020-09-08 16:15:00,1473.0,1471.5,1472.5,3051.0,1472.0
MNDI.L,2020-09-08 16:14:00,1473.0,1472.0,1472.5,2713.0,1473.0
MNDI.L,2020-09-08 16:13:00,1473.5,1472.5,1473.5,878.0,1472.5
MNDI.L,2020-09-08 16:12:00,1473.0,1472.5,1473.0,967.0,1473.0
MNDI.L,2020-09-08 16:11:00,1472.5,1472.5,1472.5,257.0,1472.5
MNDI.L,2020-09-08 16:10:00,1473.0,1472.0,1472.0,4123.0,1473.0
MNDI.L,2020-09-08 16:09:00,1472.5,1472.5,1472.5,1078.0,1472.5
MNDI.L,2020-09-08 16:08:00,1473.0,1472.5,1472.5,1362.0,1472.5
MNDI.L,2020-09-08 16:07:00,1472.0,1472.0,1472.0,4.0,1472.0
MNDI.L,2020-09-08 16:06:00,1472.0,1470.5,1471.5,5013.0,1471.5
MNDI.L,2020-09-08 16:05:00,1471.5,1470.0,1471.5,3178.0,1470.0
MNDI.L,2020-09-08 16:04:00,1470.0,1469.5,1469.5,1021.0,1470.0
MNDI.L,2020-09-08 16:03:00,1470.5,1469.5,1470.0,624.0,1469.5
MNDI.L,2020-09-08 16:02:00,1468.5,1465.5,1468.5,4977.0,1465.5
MNDI.L,2020-09-08 16:01:00,1465.0,1464.0,1465.0,1530.0,1464.0
MNDI.L,2020-09-08 16:00:00,1464.0,1463.0,1463.5,1614.0,1464.0
MNDI.L,2020-09-08 15:59:00,1465.5,1464.5,1465.5,1315.0,1464.5
MNDI.L,2020-09-08 15:58:00,1465.0,1464.0,1464.5,729.0,1464.5
MNDI.L,2020-09-08 15:57:00,1465.0,1464.5,1464.5,770.0,1464.5
MNDI.L,2020-09-08 15:56:00,1464.5,1462.5,1463.5,7608.0,1464.0
MNDI.L,2020-09-08 15:55:00,1463.5,1461.5,1463.5,4070.0,1462.5
MNDI.L,2020-09-08 15:54:00,1463.5,1462.5,1462.5,3877.0,1463.5
MNDI.L,2020-09-08 15:53:00,1464.0,1464.0,1464.0,2854.0,1464.0
MNDI.L,2020-09-08 15:52:00,1461.5,1461.0,1461.5,3517.0,1461.5
MNDI.L,2020-09-08 15:49:00,1460.0,1459.5,1459.5,684.0,1460.0
MNDI.L,2020-09-08 15:48:00,1462.0,1460.5,1460.5,1133.0,1461.5
MNDI.L,2020-09-08 15:47:00,1462.0,1461.5,1461.5,1508.0,1461.5
MNDI.L,2020-09-08 15:46:00,1463.0,1461.6800537109375,1462.0,1468.0,1462.0
MNDI.L,2020-09-08 15:45:00,1462.5,1461.5,1461.5,2388.0,1462.5
MNDI.L,2020-09-08 15:44:00,1462.0,1461.0,1462.0,1617.0,1462.0
MNDI.L,2020-09-08 15:43:00,1461.5,1461.5,1461.5,698.0,1461.5
MNDI.L,2020-09-08 15:42:00,1462.5,1461.5,1461.5,1206.0,1462.0
MNDI.L,2020-09-08 15:41:00,1465.0,1464.0,1464.0,1446.0,1465.0
MNDI.L,2020-09-08 15:40:00,1466.5,1465.5,1465.5,4563.0,1466.0
MNDI.L,2020-09-08 15:39:00,1467.5,1466.0,1466.0,7350.0,1467.0
MNDI.L,2020-09-08 15:38:00,1467.0,1467.0,1467.0,726.0,1467.0
MNDI.L,2020-09-08 15:37:00,1466.5,1466.0,1466.5,315.0,1466.5
MNDI.L,2020-09-08 15:36:00,1467.0,1466.0,1467.0,3401.0,1466.0
MNDI.L,2020-09-08 15:35:00,1467.0,1465.6800537109375,1465.6800537109375,1237.0,1466.0
MNDI.L,2020-09-08 15:34:00,1466.0,1465.5,1465.5,592.0,1466.0
MNDI.L,2020-09-08 15:33:00,1466.5,1465.5,1465.5,2179.0,1466.5
MNDI.L,2020-09-08 15:32:00,1467.0,1466.5,1467.0,965.0,1467.0
MNDI.L,2020-09-08 15:31:00,1467.0,1467.0,1467.0,1891.0,1467.0
MNDI.L,2020-09-08 15:30:00,1467.5,1467.0,1467.0,1330.0,1467.0
MNDI.L,2020-09-08 15:29:00,1467.5,1466.5,1467.5,911.0,1467.0
MNDI.L,2020-09-08 15:28:00,1467.0,1465.5,1466.5,1459.0,1465.5
MNDI.L,2020-09-08 15:27:00,1465.0,1464.5,1465.0,1541.0,1465.0
MNDI.L,2020-09-08 15:26:00,1465.0,1464.5,1465.0,1018.0,1464.5
MNDI.L,2020-09-08 15:25:00,1464.5,1464.0,1464.0,1455.0,1464.5
MNDI.L,2020-09-08 15:24:00,1464.5,1464.0,1464.5,1848.0,1464.5
MNDI.L,2020-09-08 15:22:00,1462.0,1460.5,1462.0,1952.0,1461.0
MNDI.L,2020-09-08 15:21:00,1462.5,1461.5,1461.5,474.0,1462.5
MNDI.L,2020-09-08 15:20:00,1463.5,1463.0,1463.0,636.0,1463.5
MNDI.L,2020-09-08 15:19:00,1463.5,1463.0,1463.5,1698.0,1463.0
MNDI.L,2020-09-08 15:18:00,1465.0,1464.0,1464.0,6271.0,1465.0
MNDI.L,2020-09-08 15:17:00,1467.5,1464.5,1464.5,8922.0,1466.5
MNDI.L,2020-09-08 15:16:00,1466.5,1464.5,1466.5,4414.0,1464.5
MNDI.L,2020-09-08 15:15:00,1465.5,1465.5,1465.5,1295.0,1465.5
MNDI.L,2020-09-08 15:14:00,1465.0,1465.0,1465.0,26.0,1465.0
MNDI.L,2020-09-08 15:12:00,1464.0,1463.0,1463.5,595.0,1463.0
MNDI.L,2020-09-08 15:11:00,1464.0,1462.5,1464.0,651.0,1462.5
MNDI.L,2020-09-08 15:10:00,1463.0,1462.0,1462.0,1790.0,1463.0
MNDI.L,2020-09-08 15:08:00,1460.0,1459.0,1460.0,507.0,1459.5
MNDI.L,2020-09-08 15:07:00,1460.0,1458.5,1460.0,496.0,1458.5
MNDI.L,2020-09-08 15:06:00,1457.5,1457.0,1457.5,2576.0,1457.0
MNDI.L,2020-09-08 15:05:00,1459.0,1458.0,1459.0,535.0,1458.0
MNDI.L,2020-09-08 15:04:00,1458.5,1458.5,1458.5,616.0,1458.5
MNDI.L,2020-09-08 15:03:00,1459.0,1459.0,1459.0,2.0,1459.0
MNDI.L,2020-09-08 15:02:00,1461.5,1460.5,1460.5,1583.0,1461.5
MNDI.L,2020-09-08 15:00:00,1464.0,1461.5,1461.5,2831.0,1464.0
MNDI.L,2020-09-08 14:58:00,1464.0,1463.5,1463.5,636.0,1464.0
MNDI.L,2020-09-08 14:57:00,1462.5,1461.5,1462.5,2071.0,1461.5
MNDI.L,2020-09-08 14:56:00,1461.5,1461.0,1461.5,267.0,1461.0
MNDI.L,2020-09-08 14:54:00,1461.0,1459.5,1460.0,3475.0,1461.0
MNDI.L,2020-09-08 14:53:00,1461.0,1461.0,1461.0,172.0,1461.0
MNDI.L,2020-09-08 14:52:00,1462.0,1460.5,1462.0,1053.0,1461.0
MNDI.L,2020-09-08 14:51:00,1460.0,1459.0,1460.0,2277.0,1459.0
