symbol,date,open,close,high,volume,low,dividends
ADM.L,2020-09-11 16:29:00,2694.0,2692.0,2695.0,1815.0,2692.0,0.0
ADM.L,2020-09-11 16:28:00,2694.0,2693.0,2694.0,751.0,2693.0,0.0
ADM.L,2020-09-11 16:27:00,2694.0,2694.0,2694.0,131.0,2694.0,0.0
ADM.L,2020-09-11 16:26:00,2694.0,2694.489990234375,2694.489990234375,588.0,2694.0,0.0
ADM.L,2020-09-11 16:25:00,2692.0,2693.0,2694.0,1754.0,2691.427978515625,0.0
ADM.L,2020-09-11 16:24:00,2693.0,2692.0,2693.0,367.0,2692.0,0.0
ADM.L,2020-09-11 16:22:00,2692.0,2693.0,2693.0,818.0,2692.0,0.0
ADM.L,2020-09-11 16:21:00,2695.0,2695.0,2695.0,201.0,2695.0,0.0
ADM.L,2020-09-11 16:20:00,2693.0,2696.0,2696.0,3628.0,2693.0,0.0
ADM.L,2020-09-11 16:19:00,2694.0,2694.0,2695.0,912.0,2694.0,0.0
ADM.L,2020-09-11 16:18:00,2693.0,2693.0,2693.0,291.0,2693.0,0.0
ADM.L,2020-09-11 16:17:00,2694.0,2693.0,2695.0,767.0,2693.0,0.0
ADM.L,2020-09-11 16:16:00,2694.0,2694.0,2694.0,233.0,2694.0,0.0
ADM.L,2020-09-11 16:15:00,2692.0,2693.0,2693.0,1632.0,2692.0,0.0
ADM.L,2020-09-11 16:14:00,2695.0,2697.5,2697.5,89860.0,2692.0,0.0
ADM.L,2020-09-11 16:13:00,2697.0,2695.0,2697.0,521.0,2695.0,0.0
ADM.L,2020-09-11 16:12:00,2697.0,2697.0,2697.0,37.0,2697.0,0.0
ADM.L,2020-09-11 16:10:00,2699.0,2697.0,2699.0,939.0,2697.0,0.0
ADM.L,2020-09-11 16:09:00,2698.0,2699.0,2699.0,786.0,2698.0,0.0
ADM.L,2020-09-11 16:08:00,2697.0,2698.0,2698.0,1025.0,2697.0,0.0
ADM.L,2020-09-11 16:07:00,2697.97998046875,2697.97998046875,2697.97998046875,261.0,2697.97998046875,0.0
ADM.L,2020-09-11 16:06:00,2698.0,2698.0,2698.0,254.0,2698.0,0.0
ADM.L,2020-09-11 16:05:00,2698.0,2697.0,2698.0,1020.0,2695.221923828125,0.0
ADM.L,2020-09-11 16:04:00,2699.0,2699.0,2699.0,1011.0,2699.0,0.0
ADM.L,2020-09-11 16:03:00,2697.0,2699.0,2699.0,571.0,2697.0,0.0
ADM.L,2020-09-11 16:02:00,2698.0,2698.0,2698.0,207.0,2698.0,0.0
ADM.L,2020-09-11 16:01:00,2695.0,2697.0,2697.0,981.0,2695.0,0.0
ADM.L,2020-09-11 16:00:00,2693.0,2694.0,2694.0,1582.0,2693.0,0.0
ADM.L,2020-09-11 15:59:00,2695.0,2693.0,2695.0,493.0,2693.0,0.0
ADM.L,2020-09-11 15:58:00,2695.0,2695.0,2695.0,4.0,2695.0,0.0
ADM.L,2020-09-11 15:57:00,2698.0,2696.0,2698.0,856.0,2696.0,0.0
ADM.L,2020-09-11 15:56:00,2698.0,2697.0,2698.0,451.0,2697.0,0.0
ADM.L,2020-09-11 15:55:00,2697.0,2697.0,2698.0,1840.0,2697.0,0.0
ADM.L,2020-09-11 15:54:00,2694.0,2697.0,2697.0,1109.0,2694.0,0.0
ADM.L,2020-09-11 15:53:00,2693.0,2693.083984375,2693.083984375,1696.0,2693.0,0.0
ADM.L,2020-09-11 15:49:00,2690.0,2689.505126953125,2690.0,1321.0,2689.0,0.0
ADM.L,2020-09-11 15:48:00,2689.0,2689.0,2689.0,26.0,2689.0,0.0
ADM.L,2020-09-11 15:46:00,2690.0,2690.0,2690.0,169.0,2690.0,0.0
ADM.L,2020-09-11 15:45:00,2690.0,2690.0,2690.0,334.0,2690.0,0.0
ADM.L,2020-09-11 15:44:00,2689.0,2689.0,2689.0,30.0,2689.0,0.0
ADM.L,2020-09-11 15:41:00,2690.0,2690.0,2690.0,313.0,2690.0,0.0
ADM.L,2020-09-11 15:40:00,2689.0,2690.0,2690.0,659.0,2689.0,0.0
ADM.L,2020-09-11 15:39:00,2688.0,2690.0,2690.0,770.0,2688.0,0.0
ADM.L,2020-09-11 15:38:00,2688.0,2688.0,2688.0,356.0,2688.0,0.0
ADM.L,2020-09-11 15:37:00,2688.0,2688.0,2688.0,128.0,2688.0,0.0
ADM.L,2020-09-11 15:36:00,2689.0,2689.0,2689.0,245.0,2689.0,0.0
ADM.L,2020-09-11 15:35:00,2689.0,2689.0,2689.0,354.0,2688.0,0.0
ADM.L,2020-09-11 15:34:00,2689.0,2689.0,2689.0,349.0,2689.0,0.0
ADM.L,2020-09-11 15:33:00,2688.0,2688.0,2688.0,114.0,2688.0,0.0
ADM.L,2020-09-11 15:32:00,2688.0,2688.0,2689.0,794.0,2688.0,0.0
