symbol,date,close,open,high,low,volume
CRDA.L,2020-09-11 16:29:00,6140.0,6136.0,6142.0,6136.0,367.0
CRDA.L,2020-09-11 16:28:00,6138.0,6140.0,6140.0,6138.0,202.0
CRDA.L,2020-09-11 16:26:00,6136.0,6142.0,6142.0,6136.0,183.0
CRDA.L,2020-09-11 16:25:00,6142.0,6140.0,6142.0,6138.0,90.0
CRDA.L,2020-09-11 16:24:00,6142.0,6144.0,6144.0,6142.0,121.0
CRDA.L,2020-09-11 16:23:00,6144.0,6142.0,6144.0,6142.0,315.0
CRDA.L,2020-09-11 16:22:00,6140.0,6140.0,6140.0,6138.0,336.0
CRDA.L,2020-09-11 16:21:00,6138.0,6144.0,6144.0,6138.0,1095.0
CRDA.L,2020-09-11 16:20:00,6142.0,6144.0,6144.0,6142.0,157.0
CRDA.L,2020-09-11 16:19:00,6144.0,6148.0,6148.0,6144.0,707.0
CRDA.L,2020-09-11 16:18:00,6146.0,6146.0,6146.0,6146.0,50.0
CRDA.L,2020-09-11 16:17:00,6144.0,6142.0,6144.0,6142.0,645.0
CRDA.L,2020-09-11 16:16:00,6142.0,6142.0,6142.0,6142.0,122.0
CRDA.L,2020-09-11 16:15:00,6140.0,6138.0,6142.0,6138.0,380.0
CRDA.L,2020-09-11 16:13:00,6140.0,6142.0,6142.0,6140.0,438.0
CRDA.L,2020-09-11 16:12:00,6140.0,6138.0,6140.0,6138.0,270.0
CRDA.L,2020-09-11 16:11:00,6136.0,6136.0,6136.0,6136.0,375.0
CRDA.L,2020-09-11 16:10:00,6138.0,6138.0,6138.0,6138.0,115.0
CRDA.L,2020-09-11 16:09:00,6140.0,6138.0,6140.0,6138.0,302.0
CRDA.L,2020-09-11 16:08:00,6136.0,6136.0,6136.0,6136.0,234.0
CRDA.L,2020-09-11 16:07:00,6134.0,6134.0,6134.0,6134.0,566.0
CRDA.L,2020-09-11 16:06:00,6136.0,6136.0,6136.0,6136.0,89.0
CRDA.L,2020-09-11 16:05:00,6134.0,6134.0,6134.0,6134.0,100.0
CRDA.L,2020-09-11 16:04:00,6130.0,6130.0,6130.0,6130.0,200.0
CRDA.L,2020-09-11 16:03:00,6128.0,6128.0,6128.0,6128.0,74.0
CRDA.L,2020-09-11 16:02:00,6128.0,6128.0,6128.0,6128.0,49.0
CRDA.L,2020-09-11 16:01:00,6126.0,6125.27001953125,6126.0,6125.27001953125,202.0
CRDA.L,2020-09-11 16:00:00,6124.0,6126.0,6126.0,6120.0,330.0
CRDA.L,2020-09-11 15:59:00,6124.0,6128.0,6128.0,6124.0,410.0
CRDA.L,2020-09-11 15:58:00,6126.0,6129.64013671875,6130.0,6126.0,285.0
CRDA.L,2020-09-11 15:57:00,6130.0,6130.0,6132.0,6130.0,178.0
CRDA.L,2020-09-11 15:56:00,6128.0,6128.0,6128.0,6126.0,385.0
CRDA.L,2020-09-11 15:55:00,6132.0,6130.0,6132.0,6130.0,158.0
CRDA.L,2020-09-11 15:54:00,6126.0,6132.0,6132.0,6126.0,638.0
CRDA.L,2020-09-11 15:53:00,6130.0,6127.27001953125,6130.0,6127.27001953125,425.0
CRDA.L,2020-09-11 15:52:00,6124.77978515625,6124.77978515625,6124.77978515625,6124.77978515625,100.0
CRDA.L,2020-09-11 15:50:00,6126.0,6124.0,6126.0,6124.0,207.0
CRDA.L,2020-09-11 15:49:00,6122.0,6122.0,6122.0,6122.0,218.0
CRDA.L,2020-09-11 15:48:00,6122.0,6122.0,6122.0,6122.0,18.0
CRDA.L,2020-09-11 15:46:00,6122.0,6120.0,6122.0,6120.0,165.0
CRDA.L,2020-09-11 15:45:00,6122.0,6122.0,6122.0,6120.0,158.0
CRDA.L,2020-09-11 15:44:00,6120.0,6116.0,6120.0,6116.0,482.0
CRDA.L,2020-09-11 15:42:00,6120.0,6126.0,6126.0,6120.0,494.0
CRDA.L,2020-09-11 15:41:00,6124.0,6124.0,6124.0,6124.0,383.0
CRDA.L,2020-09-11 15:40:00,6122.0,6120.0,6122.0,6118.0,384.0
CRDA.L,2020-09-11 15:39:00,6122.0,6120.0,6122.0,6120.0,171.0
CRDA.L,2020-09-11 15:38:00,6120.0,6122.0,6122.0,6120.0,189.0
CRDA.L,2020-09-11 15:37:00,6124.0,6124.0,6124.0,6124.0,211.0
