,Ticker Name,No. of Trades,Profits
0,AAPL,2599,7839.787398059553
1,AMGN,2460,899.8847820150432
2,AXP,3256,2431.2037430011414
3,BA,4075,10086.458258030596
4,CAT,3993,4532.843880231038
5,CRM,1071,66.45020635839508
6,CSCO,2234,2579.121376300088
7,CVX,4084,2474.7673522977243
8,DIS,3876,4417.003771146092
9,DOW,32,-35.30926123335921
10,GS,1443,266.72178070624216
11,HD,2639,3759.859282685886
12,HON,3452,1345.7914707460466
13,IBM,4071,4941.003251382807
14,INTC,2846,1801.20082868025
15,JNJ,3984,4448.592577576774
16,JPM,2781,1117.2204246150357
17,KO,3887,3839.1511719388077
18,MCD,3673,3043.71005939325
19,MMM,3621,946.1951468137587
20,MRK,3498,4954.689892056614
21,MSFT,2311,4578.623176454786
22,NKE,2676,4009.103551260097
23,PG,3975,2117.228034806187
24,TRV,3022,1971.1089340280041
25,UNH,2465,5333.879792233685
26,VZ,2505,-823.4543293416637
27,WBA,2851,1193.2215180955695
28,WMT,2929,1954.6390011953686
