symbol,date,low,close,volume,open,high,dividends
ANTO.L,2020-09-11 16:29:00,1110.0,1111.0,2147.0,1110.5,1111.0,0.0
ANTO.L,2020-09-11 16:28:00,1110.5,1110.56005859375,1811.0,1111.5,1111.5,0.0
ANTO.L,2020-09-11 16:27:00,1111.0,1111.5,3572.0,1111.0,1111.5,0.0
ANTO.L,2020-09-11 16:26:00,1111.0,1111.0,419.0,1111.0,1111.0,0.0
ANTO.L,2020-09-11 16:25:00,1109.5,1110.5,2524.0,1110.0,1110.5,0.0
ANTO.L,2020-09-11 16:24:00,1110.0,1110.0,422.0,1110.0,1110.0,0.0
ANTO.L,2020-09-11 16:23:00,1110.0,1110.0,1996.0,1110.0,1110.5,0.0
ANTO.L,2020-09-11 16:22:00,1109.5,1109.5,7865.0,1110.0,1110.0,0.0
ANTO.L,2020-09-11 16:21:00,1110.0,1110.0,5607.0,1111.0,1111.0,0.0
ANTO.L,2020-09-11 16:20:00,1110.0,1111.5,26103.0,1110.0,1112.5,0.0
ANTO.L,2020-09-11 16:19:00,1110.0,1110.0,28099.0,1112.0,1112.0,0.0
ANTO.L,2020-09-11 16:18:00,1111.5,1111.5,4186.0,1112.5,1112.5,0.0
ANTO.L,2020-09-11 16:17:00,1112.0,1112.0,2093.0,1112.0,1112.5,0.0
ANTO.L,2020-09-11 16:16:00,1112.0,1112.0,879.0,1112.5,1112.5,0.0
ANTO.L,2020-09-11 16:15:00,1111.0,1112.0,1743.0,1111.0,1112.5,0.0
ANTO.L,2020-09-11 16:14:00,1111.0,1111.0,575.0,1111.0,1111.0,0.0
ANTO.L,2020-09-11 16:13:00,1109.0,1111.0,7372.0,1109.0,1111.0,0.0
ANTO.L,2020-09-11 16:12:00,1108.0,1109.0,477.0,1108.0,1109.0,0.0
ANTO.L,2020-09-11 16:11:00,1108.0,1108.0,1290.0,1109.0,1109.0,0.0
ANTO.L,2020-09-11 16:10:00,1108.0,1108.5,3050.0,1109.0,1109.0,0.0
ANTO.L,2020-09-11 16:09:00,1109.5,1109.5,1090.0,1109.5,1109.5,0.0
ANTO.L,2020-09-11 16:08:00,1108.0,1109.0,2918.0,1108.0,1109.0,0.0
ANTO.L,2020-09-11 16:07:00,1107.5,1107.5,1920.0,1108.0,1108.0,0.0
ANTO.L,2020-09-11 16:06:00,1106.5,1108.0,15399.0,1108.0,1108.0,0.0
ANTO.L,2020-09-11 16:05:00,1108.0,1108.5,3487.0,1108.0,1108.5,0.0
ANTO.L,2020-09-11 16:04:00,1105.81103515625,1108.0,4160.0,1105.81103515625,1108.0,0.0
ANTO.L,2020-09-11 16:03:00,1105.5,1105.5,7100.0,1106.5,1106.5,0.0
ANTO.L,2020-09-11 16:02:00,1106.5,1106.5,16943.0,1106.5,1110.9422607421875,0.0
ANTO.L,2020-09-11 16:01:00,1105.5,1106.0,9142.0,1105.5,1106.5,0.0
