Names
NKE
BA
AXP
WBA
UNH
VZ
KO
IBM
HD
DIS
GS
TRV
JNJ
PG
VZ
JPM
MMM
MRK
CVX
HON
CSCO
MCD
WMT
CAT
CRM
INTC
DOW
MSFT
AAPL
AMGN
