Names
DXCM
EBAY
MELI
DLTR
EA
KHC
KLAC
PCAR
AMAT
SGEN
AAPL
ADBE
ADI
AMD
AMZN
ASML
ATVI
BIDU
BKNG
CDNS
CHTR
COST
CSGP
FB
JD
LULU
MA
MCHP
MDLZ
MSFT
MXIM
NFLX
NTES
NVDA
NXPI
PG
PYPL
QCOM
SPLK
SWKS
TMUS
TSLA
TTWO
V
ALXN
EXPE
ILMN
ADP
ANET
BAC
BIIB
BMRN
BRK-B
CDW
CSCO
CVX
DIS
EXC
FISV
FOX
FOXA
GILD
INCY
INTC
JPM
KO
LBTYA
LBTYK
MAR
MRK
MU
NTAP
PAYX
PFE
REGN
ROST
SBUX
SIRI
T
TCOM
ULTA
VRSN
VRTX
VZ
WBA
WDC
XLNX
XOM
ADSK
AMGN
ANSS
AVGO
CERN
CHKP
CMCSA
CPRT
CSX
CTAS
CTSH
CTXS
DOCU
FAST
GOOG
GOOGL
HD
IDXX
INTU
ISRG
JNJ
MNST
ORLY
PEP
SNPS
TXN
UNH
VRSK
WDAY
XEL
ZM
